City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Chabahar,IR,83.12,clear sky,25.2919,60.643,هتل گدروشیا
14,Faanui,PF,79.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
16,Saint-Philippe,RE,69.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Tuy Hoa,VN,84.16,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
26,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
28,Vao,NC,72.07,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
29,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
30,Taungdwingyi,MM,80.71,overcast clouds,20.0167,95.55,NayNaing MobileService
33,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
36,Key West,US,82.4,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
38,Katsuura,JP,73.44,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
40,Kavaratti,IN,83.34,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
41,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
42,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
50,Xuddur,SO,69.33,overcast clouds,4.1213,43.8894,Banjanay Hotel
51,Ponta Do Sol,PT,66.7,scattered clouds,32.6667,-17.1,Hotel do Campo
52,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
57,Rantauprapat,ID,78.04,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
58,Guerrero Negro,MX,66.16,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
64,Borba,BR,74.01,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
65,Surt,LY,71.74,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
68,Dongsheng,CN,75.29,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
72,Saint-Pierre,RE,69.48,broken clouds,-21.3393,55.4781,Alize Plage
73,Nichinan,JP,74.88,overcast clouds,31.6,131.3667,Guest House Aki
78,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
