City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,64.33,90,84,7.36,broken clouds
1,Husavik,IS,66.0449,-17.3389,46.09,90,100,4.21,overcast clouds
2,Cherskiy,RU,68.75,161.3,41.81,67,100,14.29,overcast clouds
3,Camacha,PT,33.0833,-16.3333,63.82,77,40,16.11,scattered clouds
4,Mitu,CO,1.1983,-70.1733,72.81,97,99,0.67,overcast clouds
5,Busselton,AU,-33.65,115.3333,57.83,68,100,6.76,overcast clouds
6,Longyearbyen,SJ,78.2186,15.6401,40.84,81,20,10.36,few clouds
7,Montepuez,MZ,-13.1256,38.9997,59.63,89,0,8.25,clear sky
8,Castro,BR,-24.7911,-50.0119,57.29,98,100,1.21,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,50.49,90,100,6.58,overcast clouds
10,Tiksi,RU,71.6872,128.8694,35.53,90,100,4.56,overcast clouds
11,Chabahar,IR,25.2919,60.643,83.12,83,0,6.96,clear sky
12,Hobart,AU,-42.8794,147.3294,48.06,82,75,4.61,broken clouds
13,Cape Town,ZA,-33.9258,18.4232,60.39,77,0,2.3,clear sky
14,Faanui,PF,-16.4833,-151.75,79.11,77,100,10.54,light rain
15,Saint George,US,37.1041,-113.5841,93.79,5,0,13.8,clear sky
16,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,17,6.78,few clouds
17,Talnakh,RU,69.4865,88.3972,36.21,77,13,3.91,few clouds
18,Thompson,CA,55.7435,-97.8558,39.36,93,100,11.5,overcast clouds
19,Hermanus,ZA,-34.4187,19.2345,46.8,73,0,5.91,clear sky
20,Imbituba,BR,-28.24,-48.6703,55.85,95,100,8.99,overcast clouds
21,Nanortalik,GL,60.1432,-45.2371,40.3,77,58,1.25,broken clouds
22,Evensk,RU,61.95,159.2333,53.2,57,79,5.14,broken clouds
23,Sioux Lookout,CA,50.1001,-91.917,42.87,87,75,6.91,broken clouds
24,Dikson,RU,73.5069,80.5464,28.26,83,99,27.78,overcast clouds
25,Tuy Hoa,VN,13.0833,109.3,84.16,67,100,9.91,overcast clouds
26,Hasaki,JP,35.7333,140.8333,77.29,73,99,13.29,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,12.66,scattered clouds
28,Vao,NC,-22.6667,167.4833,72.07,61,87,9.64,overcast clouds
29,Vila Velha,BR,-20.3297,-40.2925,75.15,91,0,4.61,clear sky
30,Taungdwingyi,MM,20.0167,95.55,80.71,78,100,12.26,overcast clouds
31,East London,ZA,-33.0153,27.9116,55.94,62,7,6.87,clear sky
32,Margate,GB,51.3813,1.3862,55.69,80,9,3.0,clear sky
33,Atuona,PF,-9.8,-139.0333,78.66,69,0,17.25,clear sky
34,Tasiilaq,GL,65.6145,-37.6368,33.96,90,29,4.56,scattered clouds
35,Olafsvik,IS,64.8945,-23.7142,46.8,84,100,12.86,overcast clouds
36,Key West,US,24.5557,-81.7826,82.4,80,100,18.41,overcast clouds
37,Albany,US,42.6001,-73.9662,70.45,74,100,3.06,overcast clouds
38,Katsuura,JP,35.1333,140.3,73.44,74,100,15.95,overcast clouds
39,Zonguldak,TR,41.25,31.8333,55.33,96,95,3.09,light rain
40,Kavaratti,IN,10.5669,72.642,83.34,76,100,15.46,light rain
41,Rikitea,PF,-23.1203,-134.9692,77.32,77,95,13.22,overcast clouds
42,Mahebourg,MU,-20.4081,57.7,73.69,68,40,10.36,scattered clouds
43,Tuatapere,NZ,-46.1333,167.6833,47.66,86,100,8.99,overcast clouds
44,Yellowknife,CA,62.456,-114.3525,63.12,34,20,13.8,few clouds
45,Naze,JP,28.3667,129.4833,74.32,91,98,11.81,overcast clouds
46,Pisco,PE,-13.7,-76.2167,63.01,88,75,4.61,mist
47,Ushuaia,AR,-54.8,-68.3,33.46,64,0,4.61,clear sky
48,Sistranda,NO,63.7256,8.834,51.76,93,31,9.89,scattered clouds
49,Bluff,NZ,-46.6,168.3333,50.81,75,100,15.32,overcast clouds
50,Xuddur,SO,4.1213,43.8894,69.33,85,98,15.9,overcast clouds
51,Ponta Do Sol,PT,32.6667,-17.1,66.7,82,33,9.13,scattered clouds
52,Avarua,CK,-21.2078,-159.775,78.85,61,40,19.57,scattered clouds
53,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,51,75,6.71,broken clouds
54,Sitka,US,57.0531,-135.33,55.29,82,75,6.91,broken clouds
55,Berdigestyakh,RU,62.0989,126.6992,67.17,46,13,8.25,few clouds
56,Manzhouli,CN,49.6,117.4333,57.52,58,100,16.98,heavy intensity rain
57,Rantauprapat,ID,2.1,99.8333,78.04,81,96,1.25,overcast clouds
58,Guerrero Negro,MX,27.9769,-114.0611,66.16,70,0,17.63,clear sky
59,Hilo,US,19.7297,-155.09,87.28,85,100,13.8,moderate rain
60,Cidreira,BR,-30.1811,-50.2056,53.02,75,51,8.97,broken clouds
61,Dombarovskiy,RU,50.7587,59.5386,58.41,75,65,8.05,broken clouds
62,Macusani,PE,-14.0833,-70.4333,36.32,84,85,4.27,overcast clouds
63,Magole,TZ,-6.3667,37.3667,62.51,82,33,2.98,scattered clouds
64,Borba,BR,-4.3878,-59.5939,74.01,98,99,1.57,moderate rain
65,Surt,LY,31.2089,16.5887,71.74,81,0,7.25,clear sky
66,Pechora,RU,65.1472,57.2244,37.74,45,2,12.39,clear sky
67,Ucluelet,CA,48.9329,-125.5528,59.09,90,100,3.58,overcast clouds
68,Dongsheng,CN,39.8161,109.9776,75.29,27,100,13.24,overcast clouds
69,Te Anau,NZ,-45.4167,167.7167,45.54,83,82,1.32,broken clouds
70,Nampula,MZ,-15.1165,39.2666,62.55,88,20,10.36,few clouds
71,Chokurdakh,RU,70.6333,147.9167,43.63,53,49,8.01,scattered clouds
72,Saint-Pierre,RE,-21.3393,55.4781,69.48,60,75,4.61,broken clouds
